Epoch,Loss,Accuracy,Time,Memory_Profiler,Memory_Allocated
35,1.107421875,56.56,163.05959,-0.030264320000000976,0.223007232
36,1.1025390625,55.720000000000006,167.371039,0.008136191999998854,0.223007232
37,1.1259765625,55.34,171.735871,-0.03026432000000131,0.223007232
38,1.0830078125,55.03,176.314389,-0.030264320000001087,0.223007232
39,1.123046875,54.26,180.64962,-0.004664320000000853,0.223007232
40,1.14453125,55.800000000000004,185.455519,-0.01746432000000126,0.223007232
41,1.05859375,57.709999999999994,189.806725,-0.030264320000001087,0.223007232
42,0.98974609375,58.51,194.627906,-0.03026432000000153,0.223007232
43,0.951171875,58.97,198.995536,0.02093567999999872,0.223007232
44,0.90673828125,60.419999999999995,203.37599,0.0025804799999987536,0.223007232
45,0.8525390625,60.38,207.793005,0.03373567999999886,0.223007232
46,0.8232421875,60.089999999999996,212.113709,-0.017464320000001435,0.223007232
47,0.82080078125,59.56,216.924505,-0.030264320000001406,0.223007232
48,0.798828125,60.74,221.28168300000002,-0.030264320000001357,0.223007232
49,0.734375,60.309999999999995,226.13282700000002,-0.030264320000001357,0.223007232
50,0.7119140625,58.660000000000004,230.46099400000003,-0.017414144000001373,0.223007232
51,0.73291015625,59.5,234.99210500000004,-0.02353254400000112,0.223007232
52,0.720703125,60.06,239.30122900000003,-0.02386432000000146,0.223007232
53,0.669921875,59.699999999999996,243.79204400000003,-0.030254080000001037,0.223007232
54,0.6484375,59.440000000000005,248.13638100000003,-0.017464320000001258,0.223007232
55,0.59326171875,61.25000000000001,252.53939600000004,-0.028228608000000453,0.223007232
56,0.5546875,59.69,256.94265500000006,-0.030262784000001212,0.223007232
57,0.560546875,59.24,261.8199410000001,-0.0038691840000010425,0.223007232
58,0.57080078125,59.5,266.6942560000001,-0.03026432000000118,0.223007232
59,0.54443359375,58.86,271.13528100000013,0.02733619199999896,0.223007232
60,0.51953125,60.199999999999996,275.4675560000001,-0.03026432000000119,0.223007232
61,0.48681640625,60.57,279.8070540000001,-0.030263808000001183,0.223007232
62,0.38427734375,61.07,284.1694700000001,-0.017464320000001386,0.223007232
63,0.3544921875,60.61,288.5648700000001,-0.030264320000000754,0.223007232
64,0.322998046875,60.24,292.9384270000001,-0.029752320000001494,0.223007232
65,0.318359375,58.35,297.3374150000001,-0.030264320000001087,0.223007232
66,0.375244140625,58.95,302.31292300000007,-0.03026432000000131,0.223007232
67,0.322509765625,60.45,306.76193000000006,-0.03026432000000131,0.223007232
68,0.267333984375,60.73,311.1748180000001,-0.03026432000000092,0.223007232
69,0.2127685546875,60.760000000000005,316.08420200000006,-0.03026432000000131,0.223007232
70,0.163818359375,61.62,320.5489340000001,-0.03022745600000122,0.223007232
71,0.1292724609375,60.11,324.8853890000001,-0.03026432000000131,0.223007232
72,0.12457275390625,60.58,329.2344800000001,-0.03026432000000131,0.223007232
73,0.1231689453125,60.01,333.65282400000007,-0.017464320000001164,0.223007232
74,0.14697265625,60.870000000000005,338.10296000000005,-0.03026432000000153,0.223007232
75,0.135009765625,60.699999999999996,342.9479170000001,-0.023864320000001125,0.223007232
76,0.10577392578125,61.809999999999995,347.28931200000005,-0.030263808000001134,0.223007232
77,0.0721435546875,61.6,351.69554700000003,-0.01746432000000099,0.223007232
78,0.064697265625,61.050000000000004,356.54974200000004,-0.03026432000000131,0.223007232
79,0.046142578125,60.95,360.94193800000005,-0.030264320000001087,0.223007232
80,0.0362548828125,60.919999999999995,365.30375200000003,0.020935679999998832,0.223007232
81,0.0285797119140625,61.12,370.14160000000004,-0.030264320000001087,0.223007232
82,0.01971435546875,61.24000000000001,374.471356,-0.017464320000001213,0.223007232
83,0.016632080078125,61.519999999999996,378.849168,-0.030264320000001087,0.223007232
84,0.014007568359375,61.73,383.684028,-0.030227456000001172,0.223007232
85,0.01064300537109375,61.67,388.017759,0.17525657599999822,0.223007232
86,0.00775146484375,61.36000000000001,392.404534,-0.03026432000000131,0.223007232
