[tensor(0.0087, device='cuda:0'), 0.007685567904263735, 0.006532722245901823, 0.005831846967339516, 0.005201828200370073, 0.004420304764062166, 0.003937729494646191, 0.0034404110163450243, 0.003186566708609462, 0.002781050279736519, 0.0023720783181488516, 0.002097974717617035, 0.0018415045691654087, 0.001648132037371397, 0.001412036269903183, 0.001225957297720015, 0.0011127793695777655, 0.0009476352715864778, 0.0008441890124231577, 0.0007257640711031855, 0.0006402948056347668, 0.0005594261921942234, 0.00048481885460205376, 0.00041361639159731567, 0.0003610677260439843, 0.0003119195462204516, 0.0002847296476829797, 0.0002405914623523131, 0.00021070410730317235, 0.00017473745974712075, 0.00016188236768357455, 0.00014349643897730856, 0.00015550439711660148, 0.00011054282949771733, 0.00010659217659849673, 0.00010003619245253503, 8.999382553156465e-05, 7.637737289769574e-05, 6.611525532207452e-05, 5.844206316396594e-05, 5.35797662450932e-05, 4.5775374019285664e-05, 4.044556189910509e-05, 3.83532744308468e-05, 3.3648457974777554e-05, 2.9681412706850095e-05, 2.5307338364655153e-05, 2.2414869818021543e-05, 2.069930560537614e-05, 1.8259798889630473e-05, 1.6657495143590496e-05],[56.39, 56.22, 56.55, 56.25, 56.19, 56.14, 56.33, 56.08, 56.23, 56.32, 56.1, 55.99, 56.35, 56.04, 56.24, 56.06, 55.79, 56.32, 55.94, 55.79, 55.8, 55.84, 56.05, 56.1, 55.73, 55.97, 55.71, 55.84, 55.76, 55.96, 56.01, 55.98, 56.06, 55.84, 55.99, 55.72, 55.53, 55.79, 55.9, 55.82, 55.61, 55.82, 55.68, 55.52, 55.74, 55.35, 55.84, 55.64, 55.68, 55.58, 55.73],[1.97217464e-02 4.75830600e+01 9.70196733e+01 1.67469702e+02
[tensor(1.6250e-05, device='cuda:0'), 1.6726795729482545e-05, 1.366259930364322e-05, 1.2343061644060072e-05, 1.0939850108115934e-05, 9.864966705208644e-06, 8.87947444425663e-06, 7.704707331868122e-06, 6.871476307424018e-06, 6.168079835333629e-06, 5.5842132496763955e-06, 4.977089793101186e-06, 4.60531291537336e-06, 3.864847667500726e-06, 3.961562606491498e-06, 3.4046154723910147e-06, 3.36963980771543e-06, 2.7255824988969834e-06, 2.8145883788965874e-06, 2.2044880552130053e-06, 2.052987565548392e-06, 1.869002903731598e-06, 1.604302474333963e-06, 1.5729829556221376e-06, 1.2828412081944407e-06, 1.169385086541297e-06, 1.0046835768662276e-06, 9.309932011092314e-07, 8.082435442702263e-07, 7.200192499112745e-07, 7.972486628204934e-07, 6.341812536447833e-07, 5.686162808160589e-07, 4.848408138968808e-07, 4.695963241374557e-07, 4.208587768061989e-07, 3.537153929755732e-07, 3.311395232685754e-07, 3.096293994531152e-07, 2.8093091373193604e-07, 3.0775057098253454e-07, 2.3279903302864113e-07, 2.0876167354799692e-07, 1.8104790342476917e-07, 1.8829343275683641e-07, 1.4534233514496008e-07, 1.2856482385359412e-07, 1.1727093465196959e-07, 1.0490177828614833e-07, 9.986161018105121e-08, 8.47744871634859e-08],[55.73, 55.43, 55.63, 55.57, 55.81, 55.62, 55.53, 55.68, 55.38, 55.5, 55.74, 55.52, 55.55, 55.51, 55.62, 55.53, 55.4, 55.56, 55.71, 55.34, 55.28, 55.56, 55.34, 55.27, 55.39, 55.22, 55.51, 55.39, 55.42, 55.36, 55.46, 55.46, 55.44, 55.45, 55.53, 55.27, 55.26, 55.18, 55.35, 55.26, 55.41, 55.43, 55.25, 55.38, 55.02, 55.12, 55.13, 55.29, 55.29, 55.09, 55.19],[1.94034576e-02 5.08970819e+01 9.49281662e+01 1.48829183e+02
 1.93895484e+02 2.46469127e+02 2.91360412e+02 3.37882845e+02
 3.90887813e+02 4.34363734e+02 4.85944183e+02 5.30223451e+02
 5.84265907e+02 6.28464122e+02 6.82521178e+02 7.26859832e+02
 7.71913298e+02 8.17197536e+02 8.70081138e+02 9.16167672e+02
 9.67502649e+02 1.01220674e+03 1.05612090e+03 1.11096530e+03
 1.15597615e+03 1.20768418e+03 1.25342969e+03 1.30553853e+03
 1.35173461e+03 1.40584817e+03 1.46343175e+03 1.50872691e+03
 1.56156304e+03 1.60624994e+03 1.65839688e+03 1.70370396e+03
 1.75699635e+03 1.80359759e+03 1.85631734e+03 1.90018860e+03
 1.95374170e+03 1.99959170e+03 2.05098678e+03 2.09605577e+03
 2.14931613e+03 2.19321622e+03 2.24592399e+03 2.30131436e+03
 2.34690885e+03 2.39903127e+03 2.44349006e+03]
